day,shannon_entropy_genus
3,3.312916499
4,3.044722552
5,2.864560225
6,2.673958108
7,2.473797534
8,2.431311878
9,2.515996841
10,2.509370432
11,2.433929041
12,2.429090282
13,2.209002764
14,2.090682658
15,2.240138123
16,2.375120278
17,2.614753351
18,2.680056102
19,2.918325156
20,2.963816526
21,3.243836777
22,2.518822576
23,2.518305541
24,2.332097531
25,1.989885637
26,2.087891878
27,1.775626726
28,1.996074823
29,1.995113008
30,2.548573922
31,2.498423571
32,2.473837229
33,2.468968751
34,2.231979843
35,2.150375789
36,2.737165114
37,2.652320003
38,2.37879057
39,2.342998157
40,2.863026332
41,2.636252566
42,2.43129047
43,2.667375966
44,2.398147143
45,2.348248122
46,2.409851644
47,2.599951724
48,2.478773632
49,2.770995367
50,2.600574527
51,2.837635352
52,2.65832459
53,2.845225779
54,2.812985048
55,2.479790762
56,2.717101186
57,2.776112551
58,2.948461982
59,3.041552696
60,3.071435821
61,2.989269105
62,2.917119243
63,2.892914383
64,2.909575714
65,2.918767612
66,3.020057042
67,3.052096437
68,3.014578951
69,2.976913063
70,3.012864865
71,2.979254276
72,3.18163872
73,3.068242114
74,3.060637953
75,3.054721835
76,3.014154364
77,3.07960735
78,3.043790192
79,3.028992827
80,2.970199385
81,2.902028089
82,2.855839234
83,2.865704507
84,2.852502713
85,2.868169779
86,2.927920885
87,2.887452966
88,2.909924358
89,2.889664828
90,2.927391853
91,2.952637824
92,2.995478452
93,2.995827083
94,3.012323294
95,3.024326049
96,3.062740549
97,2.951564058
98,2.924288071
99,2.929422733
100,2.839812795
101,2.834416397
102,2.856339328
103,2.956914651
104,2.95278314
105,2.947835543
106,2.998353435
107,2.990047785
108,3.013061976
109,3.025475097
110,3.063843414
