"","trace"
"3",51.0006981080816
"4",52.7366942857376
"5",59.2243460406677
"6",56.819790587532
"7",57.0414122636977
"8",56.1480983939316
"9",58.9139021002389
"10",58.6968765464334
"11",60.8020912872692
"12",60.1668927957139
"13",59.7904611810388
"14",66.8626223678547
"15",64.6454493640996
"16",67.8809840248168
"17",63.984913613162
"18",67.0863058982423
"19",73.3651462646907
"20",56.1356662504415
"21",56.513991494712
"22",67.9012184546759
"23",67.7262238941989
"24",66.8652858040464
"25",67.7147128737162
"26",65.6855628496226
"27",64.5055741173714
"28",60.5210059103359
"29",73.3698083311199
"30",70.1106542096674
"31",66.0758723398429
"32",68.1159266217046
"33",68.0357468614812
"34",63.5376010056412
"35",66.4558734870653
"36",68.8193662624453
"37",63.9047249323294
"38",66.1997552956373
"39",64.6857143602726
"40",67.2264293927855
"41",68.7552260219036
"42",64.6721151032668
"43",65.2002273253981
"44",58.7482972158838
"45",58.8076813342891
"46",66.9278059945868
"47",68.663329676151
"48",66.9354126750767
"49",60.5099131693702
"50",68.6707357039644
"51",64.6476672901166
"52",64.6148689257395
"53",65.0132734716838
"54",57.4254834433941
"55",59.394733403725
"56",59.3941717049339
"57",58.7503155409115
"58",62.7260268136686
"59",66.749795485543
"60",58.7447982758218
"61",57.1999410950942
"62",55.2283889069654
"63",54.3303268325703
"64",52.9466339360186
"65",51.6147683637389
"66",51.1042815996123
"67",52.344359407086
"68",52.0952240704716
"69",52.6029021413193
"70",50.5023509474694
"71",54.2543585389497
"72",53.3972296704154
"73",50.4796367093811
"74",50.3264190031516
"75",44.71967723115
"76",47.7717125783679
"77",48.9731110500423
"78",47.2058810473756
"79",47.6023160439501
"80",46.4280680925498
"81",48.2025321642775
"82",47.6957712435557
"83",48.2528049211002
"84",46.7633161932905
"85",49.5037663220598
"86",49.4392753163608
"87",47.9704527779658
"88",45.5038592148729
"89",52.9811086645972
"90",49.3978917468446
"91",49.4717390080749
"92",50.0986835675508
"93",46.3288227597006
"94",47.2283772470592
"95",45.9206875260914
"96",47.7500992736586
"97",49.700707035197
"98",49.608009035143
"99",50.2916250262251
"100",48.990077422588
"101",49.0934130070524
"102",50.6673719880386
"103",50.8326976117345
"104",51.0142818404394
"105",49.4713724693178
"106",50.1981905872301
"107",51.1005465077915
"108",50.9177160679005
"109",47.3353672185003
