id,G_real,Axis.1,Axis.2,day
3,-883.994725,-0.261306587,-0.059914914,3
4,-882.5170297,-0.315795165,-0.101182051,4
5,-881.6675167,-0.338774509,-0.15130288,5
6,-881.3268355,-0.342946651,-0.184591514,6
7,-883.3382192,-0.344150307,-0.205725961,7
8,-882.7183274,-0.343080173,-0.210227581,8
9,-883.8795868,-0.35826619,-0.182369995,9
10,-881.5578687,-0.372772864,-0.123252465,10
11,-880.3687193,-0.382618972,-0.118909014,11
12,-880.5062963,-0.376991727,-0.14344859,12
13,-882.3207246,-0.41030024,-0.083467358,13
14,-873.9023389,-0.427541543,-0.067361137,14
15,-869.1368827,-0.394569956,-0.025855351,15
16,-875.5989877,-0.377025359,-0.014643247,16
17,-848.8235937,-0.345583458,0.00768103,17
18,-855.0730002,-0.321335351,0.097562682,18
19,-843.9390878,-0.297507159,0.091352419,19
20,-877.4428533,-0.281109493,0.100799146,20
21,-879.5098981,-0.25571336,0.044003533,21
22,-877.5265215,-0.310616181,0.181283671,22
23,-867.8577902,-0.308523808,0.163373545,23
24,-851.5659041,-0.307584938,0.198013634,24
25,-844.8072693,-0.324203407,0.254997649,25
26,-845.9297434,-0.322611682,0.242624475,26
27,-844.4015926,-0.367175642,0.26284579,27
28,-842.4971545,-0.359925585,0.199084963,28
29,-839.6440839,-0.37215134,0.17316604,29
30,-871.2095253,-0.301586271,0.095881096,30
31,-865.9876451,-0.316392028,0.104343624,31
32,-854.407744,-0.311692036,0.206702862,32
33,-871.257611,-0.277948278,0.201868333,33
34,-872.5864718,-0.300834968,0.216463048,34
35,-869.9162441,-0.328172858,0.223864277,35
36,-863.6311415,-0.267727677,0.110004273,36
37,-856.3573296,-0.269650435,0.090570359,37
38,-846.5227597,-0.301919175,0.099659314,38
39,-850.939298,-0.308487313,0.074019261,39
40,-849.3622314,-0.230802852,-0.012592382,40
41,-850.0361505,-0.265685566,-0.023248524,41
42,-851.4760063,-0.295348128,-0.034351086,42
43,-852.6612895,-0.258177513,-0.073549542,43
44,-848.638012,-0.286072036,-0.086057676,44
45,-852.2343291,-0.275402063,-0.119650483,45
46,-852.1691374,-0.253215072,-0.121843451,46
47,-854.7969899,-0.203329836,-0.155141291,47
48,-856.8530329,-0.224420965,-0.147220266,48
49,-861.0318094,-0.164866256,-0.145273789,49
50,-859.8149551,-0.183848342,-0.14321681,50
51,-871.9922993,-0.147772192,-0.136300406,51
52,-872.6421052,-0.168237589,-0.13329643,52
53,-869.7289414,-0.130310371,-0.114417539,53
54,-867.4146065,-0.123847846,-0.10961741,54
55,-863.687397,-0.176209694,-0.106197039,55
56,-863.5997982,-0.104426571,-0.145278162,56
57,-858.4374428,-0.101700916,-0.110301745,57
58,-865.773107,-0.038629534,-0.057666553,58
59,-863.4778813,0.009083577,-0.029350046,59
60,-863.3593602,0.059355437,-0.017878959,60
61,-866.2567431,0.068283468,-0.018115539,61
62,-865.327035,0.087870324,-0.01394372,62
63,-866.2012605,0.109956822,-0.013293717,63
64,-862.8158862,0.153936389,-0.018159479,64
65,-864.4937703,0.15146672,-0.016090477,65
66,-861.2609079,0.162766689,-0.013402777,66
67,-863.4804057,0.171391058,-0.012595341,67
68,-867.7499645,0.19431975,-0.011459824,68
69,-866.1383319,0.224034607,-0.00487915,69
70,-863.1600769,0.237793255,-0.004356953,70
71,-864.1673546,0.256168055,-0.003102091,71
72,-873.7396451,0.249745713,-0.01907524,72
73,-877.2450686,0.264221167,-0.014704907,73
74,-875.8577985,0.27093925,-0.014565234,74
75,-875.0880933,0.287764472,-0.010197548,75
76,-874.4143076,0.29466189,-0.007820527,76
77,-873.0355715,0.293240032,-0.001545415,77
78,-874.1683227,0.302656446,-0.002143078,78
79,-874.2513238,0.316233807,-0.002605123,79
80,-875.3107503,0.329245384,-0.001088527,80
81,-876.068912,0.339807712,-0.000921595,81
82,-873.0755901,0.347023082,0.001353641,82
83,-872.5669641,0.348197032,-0.001325089,83
84,-868.7742341,0.353213858,0.002774422,84
85,-876.5271974,0.349313467,0.000776329,85
86,-872.4009953,0.355441892,0.011079124,86
87,-867.735129,0.358379185,0.015664234,87
88,-869.1940345,0.361393553,0.016162261,88
89,-867.1242524,0.365592506,0.018300232,89
90,-875.6919734,0.367364028,0.021455528,90
91,-868.1422239,0.369603143,0.021545842,91
92,-872.2506176,0.376462636,0.02500769,92
93,-866.2076441,0.380892134,0.02649809,93
94,-865.7971483,0.380074574,0.024725538,94
95,-873.147182,0.382358916,0.029467296,95
96,-869.5374652,0.380604138,0.028082861,96
97,-870.4209514,0.389920865,0.026806272,97
98,-875.7594187,0.390323759,0.027283058,98
99,-869.8527305,0.393136037,0.026161338,99
100,-867.3215354,0.394917238,0.029085422,100
101,-873.3072536,0.398878452,0.026717422,101
102,-867.3068937,0.393695758,0.020579007,102
103,-869.5900166,0.386824751,0.0108042,103
104,-867.172628,0.396851095,0.010761698,104
105,-867.409731,0.399358907,0.008517711,105
106,-863.9979672,0.394763542,0.003272796,106
107,-867.6784118,0.399208931,0.008902695,107
108,-870.8111273,0.398620553,0.005373975,108
109,-874.9253461,0.402195778,0.008333201,109
110,-870.5092441,0.3873442,0.004436093,110
