annotation,Type
g__Spirochaeta,OM
g__uncultured_Ardenticatenales,FB
g__Treponema,OM
g__uncultured_Geobacteraceae,OM
g__Pla4_lineage,OM
g__Vermiphilaceae,OM
g__SBR1031,FB
g__Anaerolineaceae_UCG_001,OM
g__WCHB1_41,OM
g__A4b,OM
g__mle1_8,OM
g__RBG_16_49_21,OM
g__Pedosphaeraceae,OM
g__uncultured_Rhodospirillales,OM
g__RBG_13_54_9,OM
g__Christensenellaceae_R_7_group,OM
g__PeM15,OM
g__uncultured_Anaerolineaceae,OM
g__Pla1_lineage,OM
g__SJA_15,FB
g__Smithella,SB
g__uncultured_Pirellulaceae,OM
g__Clostridium_sensu_stricto_6,FB
g__Fermentibacteraceae,OM
g__JGI_0000079_D21,OM
g__uncultured_Sumerlaeia,OM
g__Thermoanaerobaculum_Sumerlaeia,OM
g__uncultured_Bacteria,OM
g__uncultured_Gaiellales,OM
g__Methanomassiliicoccus,MA
g__WPS_2,OM
g__uncultured_Hungateiclostridiaceae,OM
g__Lactivibrio,OM
g__Candidatus_Omnitrophus,OM
g__Propioniciclava,FB
g__uncultured_Armatimonadota,OM
g__Methanobacterium,MA
g__uncultured_Spirochaetaceae,OM
g__Actinomyces,OM
g__Babeliales,OM
g__Candidatus_Methanofastidiosum,MA
g__uncultured_Desulfobacterota,OM
g__Pelolinea,OM
g__Syntrophomonas,SB
g__Ignavibacterium,OM
g__Brevinema,OM
g__0319_6G20,OM
g__Anaerofustis,OM
g__Aeromonas,OM
g__Longilinea,OM
g__vadinBE97,OM
g__AB_539_J10,OM
g__Methanosaeta,MA
g__Geobacter,OM
g__uncultured_Sporomusaceae,OM
g__Anaerolinea,OM
g__vadinHA49,OM
g__uncultured_Paludibacteraceae,OM
g__Candidatus_Caldatribacterium,OM
g__Lentimicrobium,OM
g__SCGC_AAA011_D5,OM
g__SG8_4,OM
g__Bacteroidetes_vadinHA17,FB
g__Streptococcus,FB
g__Leptolinea,OM
g__Syntrophorhabdus,SB
g__Syntrophobacter,SB
g__Pir4_lineage,OM
g__SAR324_clade_Marine_group_B,OM
g__FCPU426,OM
g__Aminicenantales,OM
g__Propionicicella,OM
g__Saccharimonadales,OM
g__Methanolinea,MA
g__uncultured_Anaerolineae,OM
g__Azospira,OM
g__Micrarchaeales,MA
g__KCLunmb_38_53,OM
g__Syntrophus,SB
g__uncultured_Propionibacteriaceae,OM
g__MVP_15,OM
g__Anaeromusa_Anaeroarcus,OM
g__ADurb.Bin118,OM
g__Clostridium_sensu_stricto_12,FB
g__Endomicrobium,OM
g__Lentimicrobiaceae,OM
g__IheB3_7,OM
g__ADurb.Bin180,OM
g__uncultured_Syntrophales,OM
g__SJA_28,OM
g__uncultured_Woesearchaeales,OM
g__Syner_01,OM
g__Syntrophomonadaceae,SB
g__Ornatilinea,FB
g__uncultured_Enterobacteriaceae,OM
g__uncultured_Thermodesulfovibrionia,OM
g__Tolumonas,OM
g__TA06,OM
g__Beutenbergia,OM
g__Clostridium_sensu_stricto_1,OM
g__Sulfurospirillum,OM
g__Clostridium_sensu_stricto_3,FB
g__Methanospirillum,MA
g__Moduliflexaceae,OM
g__1_20,OM
g__CCM11a,OM
g__Methanomethylovorans,MA
g__Candidatus_Moduliflexus,OM
g__MBNT15,OM
g__Mesotoga,OM
g__Georgenia,OM
